question_index,question_id,question,relevant_doc_count,relevant_table_count,evidence_count,evidence_variables,query_df_variables,query_uses_df,query_uses_dfs,query_assigns_result,query_length
41,41,Giá gốc chứng khoán kinh doanh của CTCP Tập đoàn Đức Long Gia Lai cuối năm 2016 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
42,42,Tổng quỹ lương năm 2022 của công ty mẹ EIB là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
43,43,Nguyên giá xây dựng Nhà ga Hành khách T2 - CHKQT Nội Bài của Tổng Công ty Cảng Hàng không Việt Nam - CTCP cuối năm 2022 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
44,44,Tổng tài sản của STB là bao nhiêu triệu đồng vào cuối năm 2016?,0,0,0,,,False,False,False,0
45,45,Tổng nợ phải trả của công ty mẹ BAB đến ngày 31/12/2020 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
46,46,Thuế TNDN phải nộp cuối năm 2024 của BAB là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
47,47,Tổng chi phí bán hàng của PLX trong năm 2017 là bao nhiêu nghìn tỷ đồng?,0,0,0,,,False,False,False,0
48,48,Số dư cuối năm 2015 của Quỹ bình ổn giá xăng dầu tại Tập đoàn Xăng Dầu Việt Nam (PLX) là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
49,49,Chi phí dịch vụ mua ngoài của CTCP Tập Đoàn PC1 (PC1) năm 2018 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
50,50,Số dư trái phiếu đặc biệt do VAMC phát hành của công ty mẹ Ngân hàng TMCP An Bình (ABB) đến ngày 31/12/2023 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
51,51,"Số dư kỳ phiếu, trái phiếu trung hạn bằng đồng nội tệ của Ngân hàng TMCP Ngoại thương Việt Nam (VCB) là bao nhiêu triệu đồng vào cuối năm 2020?",0,0,0,,,False,False,False,0
52,52,Số dư phải thu trong nghiệp vụ chuyển tiền nhanh của Ngân hàng TMCP Nam Á (NAB) đến ngày 31/12/2024 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
53,53,Giá trị còn lại của bất động sản đầu tư của công ty mẹ IJC đến ngày 31 tháng 12 năm 2021 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
54,54,Số dư cho vay đối với các tổ chức kinh tế và cá nhân trong nước của công ty mẹ Ngân hàng TMCP Hàng hải Việt Nam đến ngày 31/12/2017 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
55,55,Vốn cổ phần của FTS cuối năm 2020 là bao nhiêu nghìn tỷ đồng?,0,0,0,,,False,False,False,0
56,56,Số tiền dự phòng được trích lập trong năm 2020 của SAB là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
57,57,Số thuế thu nhập doanh nghiệp phải nộp đầu năm 2021 của CTCP Tập Đoàn PC1 (PC1) là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
58,58,Tổng tiền trả trước cho người bán ngắn hạn của công ty mẹ PC1 cuối năm 2023 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
59,59,Chứng khoán đầu tư sẵn sàng để bán cuối năm 2017 của Ngân hàng TMCP Ngoại thương Việt Nam là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
60,60,Lãi vay của công ty mẹ Tổng Công ty Lương thực Miền Nam - CTCP (VSF) năm 2022 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
61,61,Doanh thu bán hàng và cung cấp dịch vụ của CTCP Dịch vụ Bất động sản Đất Xanh năm 2023 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
62,62,Dư nợ đủ tiêu chuẩn của công ty mẹ MBB đến ngày 31/12/2022 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
63,63,"Lãi tiền gửi, tiền cho vay của công ty mẹ CTCP Tập đoàn Sao Mai (ASM) trong năm 2025 là bao nhiêu triệu đồng?",0,0,0,,,False,False,False,0
64,64,Tổng tài sản của STB cuối năm 2021 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
65,65,"Dư nợ cho vay ngành Thương mại, dịch vụ của Ngân hàng TMCP Ngoại thương Việt Nam đến ngày 31/12/2016 là bao nhiêu triệu đồng?",0,0,0,,,False,False,False,0
66,66,Chi phí lãi vay của Công ty Cổ phần Thép Nam Kim trong năm 2021 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
67,67,Tổng giá vốn hàng bán và dịch vụ cung cấp của công ty mẹ CTCP Phát triển Bất động sản Văn Phú (VPI) năm 2025 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
68,68,Tổng lợi nhuận trước thuế của Ngân hàng TMCP Hàng hải Việt Nam năm 2023 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
69,69,Tiền gửi của khách hàng cuối năm 2019 của Ngân hàng TMCP Sài Gòn - Hà Nội là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
70,70,Số dư phải thu ngắn hạn từ Công ty Cổ phần Bao bì Dầu khí Việt Nam của công ty mẹ DCM tính đến cuối năm 2019 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
71,71,Doanh thu thuần về bán hàng và cung cấp dịch vụ của GEG trong năm 2025 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
72,72,Số dư phải thu ngắn hạn khách hàng của CTCP Phát triển Bất động sản Văn Phú (VPI) cuối năm 2024 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
73,73,Tổng giá trị ghi sổ đầu tư vào công ty liên kết của CTCP Tập Đoàn PC1 là bao nhiêu nghìn tỷ đồng vào cuối năm 2024?,0,0,0,,,False,False,False,0
74,74,Giá gốc khoản đầu tư tại CTCP Sài Gòn - Rạch Giá của công ty mẹ Ngân hàng TMCP Kiên Long (KLB) đến ngày 31/12/2017 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
75,75,Số dư khoản mục vốn góp trực tiếp của công ty mẹ BVH vào Quỹ Đầu tư Giá trị Bảo Việt đến ngày 31 tháng 12 năm 2019 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
76,76,Giá trị đầu tư vào công ty con của công ty mẹ CTCP Đầu tư Hạ tầng Giao thông Đèo Cả đến ngày 31/12/2024 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
77,77,Tổng giá trị đầu tư vào công ty con của công ty mẹ CTCP Vincom Retail (VRE) đến ngày 31 tháng 12 năm 2024 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
78,78,Số dư lãi vay phải trả đến ngày 31/12/2022 của công ty mẹ Công ty Cổ phần Vincom Retail (VRE) là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
79,79,Tổng giấy tờ có giá phát hành của công ty mẹ Ngân hàng TMCP Sài Gòn Tài Lộc là bao nhiêu triệu đồng cuối năm 2022?,0,0,0,,,False,False,False,0
80,80,Tổng số dư phải thu khác ngắn hạn của NVL cuối năm 2020 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
81,81,Số dư chứng khoán nợ của Ngân hàng TMCP Quân đội (MBB) đến ngày 31 tháng 12 năm 2023 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
82,82,Số dư tiền gửi tại các TCTD khác của công ty mẹ Ngân hàng TMCP Quốc Dân (NVB) là bao nhiêu triệu đồng vào ngày 31/12/2022?,0,0,0,,,False,False,False,0
83,83,Số dư cam kết giao dịch hối đoái của công ty mẹ Ngân hàng TMCP Quốc tế Việt Nam đến ngày 31/12/2020 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
84,84,Số dư tiền và tương đương tiền cuối năm 2024 của công ty mẹ Tổng Công ty Điện lực TKV - CTCP là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
85,85,Chi phí lãi và các chi phí tương tự của Ngân hàng TMCP Á Châu trong năm 2016 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
86,86,Lợi nhuận sau thuế của Ngân hàng TMCP Sài Gòn Công Thương năm 2024 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
87,87,Tổng giá vốn hàng bán của HPX trong năm 2024 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
88,88,Tổng tài sản của Ngân hàng TMCP Quốc Dân cuối năm 2019 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
89,89,Chi phí thuế thu nhập hiện hành của CTCP Tập đoàn Masan năm 2018 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
90,90,Chi phí khấu hao TSCĐ thuộc chi phí quản lý doanh nghiệp của Tập đoàn VINGROUP - CTCP (VIC) năm 2015 là bao nhiêu nghìn tỷ đồng?,0,0,0,,,False,False,False,0
91,91,Nguyên giá bất động sản đầu tư của công ty mẹ CTCP Vincom Retail (VRE) vào cuối năm 2024 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
92,92,Tổng cộng tài sản của SSH cuối năm 2025 là bao nhiêu nghìn tỷ đồng?,0,0,0,,,False,False,False,0
93,93,Chi phí lãi vay Ngân hàng TMCP Xăng dầu Petrolimex của PLX năm 2022 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
94,94,Lợi nhuận thuần sau thuế của CTCP Tập đoàn Dabaco Việt Nam năm 2021 là bao nhiêu trăm tỷ đồng?,0,0,0,,,False,False,False,0
95,95,Chi phí thuế hiện hành của CTCP Tập đoàn Hà Đô năm 2015 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
96,96,Chi phí trả trước ngắn hạn khác của Tập đoàn Dệt May Việt Nam cuối năm 2025 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
97,97,Tỷ lệ sở hữu Công ty CP Gang thép Hòa Phát của HPG đến ngày 31/12/2023 là bao nhiêu %?,0,0,0,,,False,False,False,0
98,98,Tổng giá trị hàng tồn kho của công ty mẹ CTCP Tasco vào cuối năm 2024 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
99,99,Tiền của NKG cuối năm 2022 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
100,100,Tổng số lượng cổ phần của Tập đoàn Bảo Việt (BVH) vào cuối năm 2018 là bao nhiêu cổ phần?,0,0,0,,,False,False,False,0
101,101,Số dư chi phí xây dựng cơ bản dở dang đến ngày 31/12/2017 của CTCP Thép Nam Kim là bao nhiêu trăm tỷ đồng?,0,0,0,,,False,False,False,0
102,102,Giá trị còn lại của quyền sử dụng đất của Ngân hàng TMCP Quân đội (MBB) vào cuối năm 2018 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
103,103,Số dư dự phòng chi phí bảo hành ngắn hạn của công ty mẹ CTCP Tập đoàn GELEX cuối năm 2019 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
104,104,Tăng lợi nhuận trước thuế của công ty mẹ Ngân hàng TMCP Quân đội trong năm 2022 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
105,105,Lãi thuần từ hoạt động dịch vụ của Ngân hàng TMCP Xuất nhập khẩu Việt Nam năm 2020 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
106,106,Tỷ lệ sở hữu của công ty mẹ Tập đoàn Xăng Dầu Việt Nam (PLX) tại Công ty TNHH Hóa chất PTN vào cuối năm 2016 là bao nhiêu phần trăm?,0,0,0,,,False,False,False,0
107,107,Tổng chi phí xây dựng cơ bản dở dang của công ty mẹ Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP cuối năm 2022 là bao nhiêu trăm tỷ đồng?,0,0,0,,,False,False,False,0
108,108,Tổng giá trị trái phiếu của HAG cuối năm 2023 là bao nhiêu nghìn đồng?,0,0,0,,,False,False,False,0
109,109,Số tiền trả trước cho người bán ngắn hạn của CTCP Phát triển Hạ tầng Kỹ thuật tính đến ngày 31/12/2016 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
110,110,Số dư tiền gửi khách hàng đến ngày 31/12/2022 của công ty mẹ Ngân hàng TMCP Ngoại thương Việt Nam (VCB) là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
111,111,Giá trị còn lại của tài sản cố định vô hình cuối năm 2025 của Tổng Công ty Viglacera - CTCP (VGC) là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
112,112,Giá trị ghi sổ tiền gửi có kỳ hạn ngắn hạn của công ty mẹ Công ty Cổ phần Viễn thông FPT (FOX) cuối năm 2022 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
113,113,Số dư tiền gửi của cá nhân và các đối tượng khác cuối năm 2015 của Công ty Cổ phần Ngân hàng TMCP Quốc tế Việt Nam (VIB) là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
114,114,Tổng cộng nguồn vốn của Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy đầu năm 2015 là bao nhiêu nghìn tỷ đồng?,0,0,0,,,False,False,False,0
115,115,Tổng chi phí hoạt động của công ty mẹ Ngân hàng TMCP Công Thương Việt Nam năm 2019 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
116,116,Thu nhập của ông Nguyễn Văn Hùng của công ty mẹ CTCP Phát triển Hạ tầng Kỹ thuật (IJC) trong năm 2022 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
117,117,Giá vốn của dịch vụ đã cung cấp của FPT trong năm 2024 là bao nhiêu nghìn tỷ đồng?,0,0,0,,,False,False,False,0
118,118,Số dư cuối kỳ dự phòng chung cho các khoản cho vay khách hàng của công ty mẹ Ngân hàng TMCP Ngoại thương Việt Nam đến ngày 31/12/2015 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
119,119,Số dư trái phiếu phát hành đến Công ty Cổ phần Chứng khoán Thành Công của NVL cuối năm 2021 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
120,120,Chi phí hoạt động của Ngân hàng TMCP Kiên Long (KLB) năm 2019 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
121,121,Thuế thu nhập doanh nghiệp của công ty mẹ CTCP Tập đoàn GELEX đầu năm 2017 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
122,122,Số dư phải thu khách hàng ngắn hạn của HHV đến ngày 01/01/2022 là bao nhiêu trăm tỷ đồng?,0,0,0,,,False,False,False,0
123,123,Tổng cộng vốn chủ sở hữu của SSI cuối năm 2016 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
124,124,Số dư Tiền và các khoản tương đương tiền của Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng (DIG) đầu năm 2024 là bao nhiêu trăm tỷ đồng?,0,0,0,,,False,False,False,0
125,125,Tổng cam kết cho thuê hoạt động của công ty mẹ Tổng Công ty Lâm nghiệp Việt Nam - CTCP (VIF) là bao nhiêu trăm tỷ đồng vào cuối năm 2024?,0,0,0,,,False,False,False,0
126,126,Tiền và các khoản tương đương tiền đầu năm 2023 của Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn (SAB) là bao nhiêu nghìn tỷ đồng?,0,0,0,,,False,False,False,0
127,127,Tổng giá trị còn lại của tài sản cố định hữu hình khác của VIB là bao nhiêu triệu đồng tính đến ngày 31/12/2024?,0,0,0,,,False,False,False,0
128,128,Tổng số tiền thuê tối thiểu trong tương lai thu được từ các hợp đồng thuê hoạt động của công ty mẹ IJC đến ngày 31/12/2015 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
129,129,Tổng quỹ lương của Ngân hàng TMCP Hàng hải Việt Nam trong năm 2022 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
130,130,Tổng doanh thu thuần năm 2024 của CTCP Tập đoàn Dabaco Việt Nam là bao nhiêu nghìn tỷ đồng?,0,0,0,,,False,False,False,0
131,131,Tiền và tương đương tiền cuối năm 2025 của công ty mẹ HUT là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
132,132,Chi phí lãi vay của công ty mẹ SNZ năm 2021 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
133,133,Tổng thu nhập Ban Tổng Giám đốc và quản lý năm 2024 của công ty mẹ CTCP Đầu tư Nam Long là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
134,134,Số dư quỹ khen thưởng và phúc lợi của CTCP Sữa Việt Nam cuối năm 2025 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
135,135,Số dư khoản phải thu ngắn hạn của khách hàng bên thứ ba công ty mẹ Tổng Công ty Khí Việt Nam - CTCP đến ngày 31/12/2021 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
136,136,Lỗ chênh lệch tỷ giá của CTCP Đường Quảng Ngãi trong năm 2023 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
137,137,Tổng số tiền người mua trả trước của công ty mẹ CTCP Tập đoàn Kỹ nghệ gỗ Trường Thành (TTF) đến ngày 1/1/2023 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
138,138,Tổng doanh thu của Công ty Cổ phần Điện Gia Lai (GEG) trong năm 2019 là bao nhiêu trăm tỷ đồng?,0,0,0,,,False,False,False,0
139,139,Doanh thu thuần về bán hàng và cung cấp dịch vụ của CTCP Hoàng Anh Gia Lai (HAG) năm 2020 là bao nhiêu nghìn đồng?,0,0,0,,,False,False,False,0
140,140,Giá trị tài sản tài chính chịu lãi suất cố định của Công ty Cổ phần Tập đoàn Hòa Phát (HPG) ở cuối năm 2019 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
141,141,Tổng trái phiếu thường của Công ty CP Hoàng Anh Gia Lai (HAG) vào cuối năm 2021 là bao nhiêu nghìn đồng?,0,0,0,,,False,False,False,0
142,142,Số dư tài sản thuế thu nhập hoãn lại của Tổng Công ty Viglacera - CTCP vào cuối năm 2025 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
143,143,Tổng cộng tài sản đầu năm 2022 của CTCP Tập đoàn F.I.T (FIT) là bao nhiêu nghìn tỷ đồng?,0,0,0,,,False,False,False,0
144,144,"Số dư khoản mục Dự thu cổ tức, lợi nhuận được chia của công ty mẹ Tập đoàn Bảo Việt đến ngày 31 tháng 12 năm 2025 là bao nhiêu trăm tỷ đồng?",0,0,0,,,False,False,False,0
145,145,Doanh thu bán hàng và cung cấp dịch vụ của công ty mẹ CTCP Hàng không Vietjet trong năm 2018 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
146,146,Chi phí trả trước của Công ty CP Tập đoàn Xây dựng Hòa Bình (HBC) đầu năm 2018 là bao nhiêu trăm tỷ đồng?,0,0,0,,,False,False,False,0
147,147,Số tiền tạm ứng nhận từ khách hàng mua bất động sản của công ty mẹ CTCP Đầu tư Nam Long cuối năm 2025 là bao nhiêu trăm tỷ đồng?,0,0,0,,,False,False,False,0
148,148,Số dư tiền và các khoản tương đương tiền cuối năm 2019 của công ty mẹ VSC là bao nhiêu trăm tỷ đồng?,0,0,0,,,False,False,False,0
149,149,Số tiền mua dịch vụ với Công ty TNHH Cảng Nam Hải Đình Vũ của CTCP Container Việt Nam (VSC) trong năm 2024 là bao nhiêu trăm tỷ đồng?,0,0,0,,,False,False,False,0
150,150,"Dự phòng các khoản đặt cọc, ký quỹ đầu năm 2019 của DXG là bao nhiêu tỷ đồng?",0,0,0,,,False,False,False,0
151,151,Tiền gửi tiết kiệm bằng VND của EIB đến ngày 31/12/2015 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
152,152,Tổng tài sản hợp nhất của Ngân hàng TMCP Sài Gòn Công Thương (SGB) đến ngày 31/12/2023 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
153,153,Lãi tiền gửi và cho vay của BAF trong năm 2024 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
154,154,Tiền và tương đương tiền đầu năm 2022 của CTCP Đầu tư Nam Long là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
155,155,Lợi nhuận trước thuế của công ty mẹ QNS năm 2023 là bao nhiêu trăm tỷ đồng?,0,0,0,,,False,False,False,0
156,156,Số dư tổng giá trị tài sản tài chính chịu rủi ro tín dụng của công ty mẹ Tập đoàn Bảo Việt (BVH) đến ngày 31 tháng 12 năm 2018 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
157,157,Tổng nguồn vốn đầu tư xây dựng cơ bản của VGT là bao nhiêu tỷ đồng vào đầu năm 2021?,0,0,0,,,False,False,False,0
158,158,Tỷ lệ sở hữu Công ty Cổ phần Cen Vĩnh Phúc của CRE tại năm 2021 là bao nhiêu phần trăm?,0,0,0,,,False,False,False,0
159,159,Tỷ lệ sở hữu Công ty Cổ phần Cao Su Lai Châu của GVR đến ngày 31/12/2020 là bao nhiêu %?,0,0,0,,,False,False,False,0
